product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
Laura Body by Bluebella,BLACK,Lingerie,60,"32B,32C,32D,34B,34C,34D,36B,36C","32B,32C,32D,34B,34C",US TOPSHOP,Topshop US,"Lend your base layers a luxe feel with this black plunge body by Bluebella. We love the sultry effect of the mesh panels to the sides. 90% Polyamide, 10% Elastane. Machine wash.",Laura Body by Bluebella,NULL,NULL,26-04-20 19:42
Sporty Thong,Bright Coral,Lingerie,10,"S,M,L","M,L",US TOPSHOP,Topshop US,"Bright coral sporty thong. 85% Polyamide,14% Elastane,1% Polyester. Machine wash.",Sporty Thong,NULL,NULL,26-04-20 19:42
Eyelash Lace Plunge Bra,Deep Berry,Lingerie,38,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32A,34D",US TOPSHOP,Topshop US,"Invest in a luxe piece for your lingerie drawer with this lightly padded bra in eyelash lace, with a plunging neckline and underwired cups for added support. 88% Polyamide, 12% Elastane. Machine wash.",Eyelash Lace Plunge Bra,NULL,NULL,26-04-20 19:42
Pretty Lace Padded Triangle Bra,CORAL,Lingerie,30,"2,4,6,8,10,12,14",10,US TOPSHOP,Topshop US,"Lightly padded triangle bra with non-wired cups for a barely there, natural shape. 89% Polyester, 11% Elastane. Machine wash.",Pretty Lace Padded Triangle Bra,NULL,NULL,26-04-20 19:42
Embroidered Mini Knickers,MULTI,Lingerie,20,"2,4,6,8,10,12,14","2,4,6,10,12,14",US TOPSHOP,Topshop US,"Nude mesh mini knickers with embroidery detail. 89% Polyamide, 11% Elastane. Machine wash.",Embroidered Mini Knickers,NULL,NULL,26-04-20 19:42
3 Pack Thongs,Bright Coral,Lingerie,10,"S,M,L","S,M",US TOPSHOP,Topshop US,"Pack of 3 basic thongs in three colours; black, light blue and coral. 49% Nylon, 39% Polyester, 12% Elastane. Machine wash.",3 Pack Thongs,NULL,NULL,26-04-20 19:42
Yasallie Mini Knickers by Yas,ROSE,Lingerie,22,"XS,S,M,L,XL","M,L,XL",US TOPSHOP,Topshop US,"Rose mini knickers by YAS. 90% Polyamide, 10% Elastane. Machine wash.",Yasallie Mini Knickers by Yas,NULL,NULL,26-04-20 19:42
Underwired Lace Bra,BERRY RED,Lingerie,35,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32A,32B,34A,34B,36A",US TOPSHOP,Topshop US,"Itâ€™s all about delicate detail with this floral lace bra. With underwire for support, it provides a barley there feel without pads. 85% Nylon,15% Elastane. Machine wash.",Underwired Lace Bra,NULL,NULL,26-04-20 19:42
Floral Applique Thong,MULTI,Lingerie,20,"2,4,6,8,10,12,14","2,4,6,8,10,12,14",US TOPSHOP,Topshop US,"Low rise thong with pretty floral applique detail to one side. 89% Polyamide,11% Elastane. Machine wash.",Floral Applique Thong,NULL,NULL,26-04-20 19:42
Thong by Calvin Klein,CHARTREUSE,Lingerie,45,"S,M,L",M,US TOPSHOP,Topshop US,"The pioneers of underwear basics, Calvin Klein know a thing or two about whatâ€™s cool. This thong comes in a navy blue with mesh details and a chartreuse waistband. 76% Nylon, 24% Elastane. Machine wash.",Thong by Calvin Klein,NULL,NULL,26-04-20 19:42
Seamless Sporty Thong,PLUM,Lingerie,10,"S,M,L",L,US TOPSHOP,Topshop US,"This sporty thong comes in a cool plum hue with a low-rise fit. 85% Polyamide, 14% Elastane, 1% Polyester. Machine wash.",Seamless Sporty Thong,NULL,NULL,26-04-20 19:42
